2025-05-22 04:10:42,789 - Episode 188 | Reward: 1.0 | Steps: 332 | Distance: 0.0
2025-05-22 04:10:42,799 - Episode 189 | Reward: 1.0 | Steps: 69 | Distance: 0.0
2025-05-22 04:10:42,806 - Episode 190 | Reward: 1.0 | Steps: 15 | Distance: 0.0
2025-05-22 04:10:42,826 - Episode 191 | Reward: 1.0 | Steps: 130 | Distance: 0.0
2025-05-22 04:10:42,851 - Episode 192 | Reward: 1.0 | Steps: 178 | Distance: 0.0
2025-05-22 04:10:42,879 - Episode 193 | Reward: 1.0 | Steps: 415 | Distance: 0.0
2025-05-22 04:10:42,897 - Episode 194 | Reward: 1.0 | Steps: 251 | Distance: 0.0
2025-05-22 04:10:42,930 - Episode 195 | Reward: 1.0 | Steps: 265 | Distance: 0.0
2025-05-22 04:10:42,942 - Episode 196 | Reward: 1.0 | Steps: 172 | Distance: 0.0
2025-05-22 04:10:42,958 - Episode 197 | Reward: 1.0 | Steps: 185 | Distance: 0.0
2025-05-22 04:10:42,988 - Episode 198 | Reward: 1.0 | Steps: 385 | Distance: 0.0
2025-05-22 04:10:42,996 - Episode 199 | Reward: 1.0 | Steps: 70 | Distance: 0.0
2025-05-22 04:10:43,001 - Episode 200 | Reward: 1.0 | Steps: 8 | Distance: 0.0
2025-05-22 04:10:43,012 - Episode 201 | Reward: 1.0 | Steps: 96 | Distance: 0.0
2025-05-22 04:10:43,017 - Episode 202 | Reward: 1.0 | Steps: 31 | Distance: 0.0
2025-05-22 04:10:43,037 - Episode 203 | Reward: 1.0 | Steps: 180 | Distance: 0.0
2025-05-22 04:10:43,047 - Episode 204 | Reward: 1.0 | Steps: 59 | Distance: 0.0
2025-05-22 04:10:43,066 - Episode 205 | Reward: 1.0 | Steps: 168 | Distance: 0.0
2025-05-22 04:10:43,078 - Episode 206 | Reward: 1.0 | Steps: 139 | Distance: 0.0
2025-05-22 04:10:43,081 - Episode 207 | Reward: 1.0 | Steps: 10 | Distance: 0.0
2025-05-22 04:10:43,086 - Episode 208 | Reward: 1.0 | Steps: 45 | Distance: 0.0
2025-05-22 04:10:43,103 - Episode 209 | Reward: 1.0 | Steps: 187 | Distance: 0.0
2025-05-22 04:10:43,112 - Episode 210 | Reward: 1.0 | Steps: 67 | Distance: 0.0
2025-05-22 04:10:43,120 - Episode 211 | Reward: 1.0 | Steps: 45 | Distance: 0.0
2025-05-22 04:10:43,130 - Episode 212 | Reward: 1.0 | Steps: 19 | Distance: 0.0
2025-05-22 04:10:43,135 - Episode 213 | Reward: 1.0 | Steps: 9 | Distance: 0.0
2025-05-22 04:10:43,186 - Episode 214 | Reward: 1.0 | Steps: 2 | Distance: 0.0
2025-05-22 04:10:43,215 - Episode 215 | Reward: 1.0 | Steps: 118 | Distance: 0.0
2025-05-22 04:10:43,218 - Episode 216 | Reward: 1.0 | Steps: 25 | Distance: 0.0
2025-05-22 04:10:43,229 - Episode 217 | Reward: 1.0 | Steps: 103 | Distance: 0.0
2025-05-22 04:10:43,238 - Episode 218 | Reward: 1.0 | Steps: 74 | Distance: 0.0
2025-05-22 04:10:43,249 - Episode 219 | Reward: 1.0 | Steps: 22 | Distance: 0.0
2025-05-22 04:10:43,259 - Episode 220 | Reward: 1.0 | Steps: 94 | Distance: 0.0
2025-05-22 04:10:43,281 - Episode 221 | Reward: 1.0 | Steps: 179 | Distance: 0.0
2025-05-22 04:10:43,289 - Episode 222 | Reward: 1.0 | Steps: 88 | Distance: 0.0
2025-05-22 04:10:43,317 - Episode 223 | Reward: 1.0 | Steps: 238 | Distance: 0.0
2025-05-22 04:10:43,318 - Episode 224 | Reward: 1.0 | Steps: 3 | Distance: 0.0
2025-05-22 04:10:43,351 - Episode 225 | Reward: 1.0 | Steps: 428 | Distance: 0.0
2025-05-22 04:10:43,369 - Episode 226 | Reward: 1.0 | Steps: 194 | Distance: 0.0
2025-05-22 04:10:43,438 - Episode 227 | Reward: 1.0 | Steps: 677 | Distance: 0.0
2025-05-22 04:10:43,447 - Episode 228 | Reward: 1.0 | Steps: 51 | Distance: 0.0
2025-05-22 04:10:43,463 - Episode 229 | Reward: 1.0 | Steps: 121 | Distance: 0.0
2025-05-22 04:10:43,471 - Episode 230 | Reward: 1.0 | Steps: 23 | Distance: 0.0
2025-05-22 04:10:43,521 - Episode 231 | Reward: 1.0 | Steps: 327 | Distance: 0.0
2025-05-22 04:10:43,554 - Episode 232 | Reward: 1.0 | Steps: 285 | Distance: 0.0
2025-05-22 04:10:43,589 - Episode 233 | Reward: 1.0 | Steps: 411 | Distance: 0.0
2025-05-22 04:10:43,608 - Episode 234 | Reward: 1.0 | Steps: 142 | Distance: 0.0
2025-05-22 04:10:43,623 - Episode 235 | Reward: 1.0 | Steps: 113 | Distance: 0.0
2025-05-22 04:10:43,633 - Episode 236 | Reward: 1.0 | Steps: 19 | Distance: 0.0
2025-05-22 04:10:43,651 - Episode 237 | Reward: 1.0 | Steps: 98 | Distance: 0.0
2025-05-22 04:10:43,697 - Episode 238 | Reward: 1.0 | Steps: 337 | Distance: 0.0
2025-05-22 04:10:43,762 - Episode 239 | Reward: 1.0 | Steps: 885 | Distance: 0.0
2025-05-22 04:10:43,768 - Episode 240 | Reward: 1.0 | Steps: 16 | Distance: 0.0
2025-05-22 04:10:43,806 - Episode 241 | Reward: 1.0 | Steps: 419 | Distance: 0.0
2025-05-22 04:10:43,842 - Episode 242 | Reward: 1.0 | Steps: 428 | Distance: 0.0
2025-05-22 04:10:43,847 - Episode 243 | Reward: 1.0 | Steps: 8 | Distance: 0.0
2025-05-22 04:10:43,851 - Episode 244 | Reward: 1.0 | Steps: 7 | Distance: 0.0
2025-05-22 04:10:43,866 - Episode 245 | Reward: 1.0 | Steps: 161 | Distance: 0.0
2025-05-22 04:10:43,874 - Episode 246 | Reward: 1.0 | Steps: 79 | Distance: 0.0
2025-05-22 04:10:43,887 - Episode 247 | Reward: 1.0 | Steps: 27 | Distance: 0.0
2025-05-22 04:10:43,902 - Episode 248 | Reward: 1.0 | Steps: 9 | Distance: 0.0
2025-05-22 04:10:43,906 - Episode 249 | Reward: 1.0 | Steps: 21 | Distance: 0.0
2025-05-22 04:10:43,983 - Episode 250 | Reward: 1.0 | Steps: 769 | Distance: 0.0
2025-05-22 04:10:44,024 - Episode 251 | Reward: 1.0 | Steps: 5 | Distance: 0.0
2025-05-22 04:10:44,186 - Episode 252 | Reward: 1.0 | Steps: 159 | Distance: 0.0
2025-05-22 04:10:44,189 - Episode 253 | Reward: 1.0 | Steps: 18 | Distance: 0.0
2025-05-22 04:10:44,203 - Episode 254 | Reward: 1.0 | Steps: 158 | Distance: 0.0
2025-05-22 04:10:44,214 - Episode 255 | Reward: 1.0 | Steps: 75 | Distance: 0.0
2025-05-22 04:10:44,238 - Episode 256 | Reward: 1.0 | Steps: 195 | Distance: 0.0
2025-05-22 04:10:44,252 - Episode 257 | Reward: 1.0 | Steps: 160 | Distance: 0.0
2025-05-22 04:10:44,265 - Episode 258 | Reward: 1.0 | Steps: 133 | Distance: 0.0
2025-05-22 04:10:44,282 - Episode 259 | Reward: 1.0 | Steps: 94 | Distance: 0.0
2025-05-22 04:10:44,303 - Episode 260 | Reward: 1.0 | Steps: 202 | Distance: 0.0
2025-05-22 04:10:44,332 - Episode 261 | Reward: 1.0 | Steps: 129 | Distance: 0.0
2025-05-22 04:10:44,335 - Episode 262 | Reward: 1.0 | Steps: 18 | Distance: 0.0
2025-05-22 04:10:44,352 - Episode 263 | Reward: 1.0 | Steps: 70 | Distance: 0.0
2025-05-22 04:10:44,356 - Episode 264 | Reward: 1.0 | Steps: 4 | Distance: 0.0
2025-05-22 04:10:44,410 - Episode 265 | Reward: 1.0 | Steps: 491 | Distance: 0.0
2025-05-22 04:10:44,417 - Episode 266 | Reward: 1.0 | Steps: 65 | Distance: 0.0
2025-05-22 04:10:44,435 - Episode 267 | Reward: 1.0 | Steps: 130 | Distance: 0.0
2025-05-22 04:10:44,529 - Episode 268 | Reward: 1.0 | Steps: 1068 | Distance: 0.0
2025-05-22 04:10:44,545 - Episode 269 | Reward: 1.0 | Steps: 186 | Distance: 0.0
2025-05-22 04:10:44,581 - Episode 270 | Reward: 1.0 | Steps: 395 | Distance: 0.0
2025-05-22 04:10:44,587 - Episode 271 | Reward: 1.0 | Steps: 71 | Distance: 0.0
