env,algo,run_id,seed,r_max,r_end,delta_post,s_final,delta_tol,slope_tol,trend_strict,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_tol_relaxed,slope_tol_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_181511_761740_pid985473_seed0,0,467.3799987792969,361.75399902343753,-105.62599975585937,-100.0,-23.368999938964848,4.673799987792969,post_peak_degradation,451.4479962158203,467.3799743652344,15.931978149414078,-8.242222086588539,-45.14479962158203,9.028959924316407,converged_relaxed
CartPole-v1,a2c,20251026_181515_054691_pid985492_seed0,0,500.0,425.78800201416016,-74.21199798583984,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-3.695556131998703,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181518_521118_pid985505_seed0,0,467.3799987792969,361.75399902343753,-105.62599975585937,-100.0,-23.368999938964848,4.673799987792969,post_peak_degradation,451.4479962158203,467.3799743652344,15.931978149414078,-8.242222086588539,-45.14479962158203,9.028959924316407,converged_relaxed
CartPole-v1,a2c,20251026_181524_322574_pid985642_seed0,0,500.0,425.78800201416016,-74.21199798583984,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-3.695556131998703,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181525_251347_pid985648_seed0,0,500.0,461.4399987792969,-38.5600012207031,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-17.824443901909724,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181821_332123_pid986384_seed0,0,500.0,445.64200012207027,-54.35799987792973,-99.99999999999997,-25.0,5.0,post_peak_degradation,500.0,435.8999938964844,-64.10000610351562,-29.34444444444445,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_181822_572146_pid986389_seed0,0,500.0,361.72399826049804,-138.27600173950196,-29.379998779296884,-25.0,5.0,post_peak_degradation,500.0,239.1199951171875,-260.8800048828125,-43.36222245958116,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_181822_817129_pid986390_seed0,0,500.0,415.9700015258789,-84.0299984741211,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-4.3933339436848975,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181823_273365_pid986391_seed0,0,459.52000122070314,346.50800262451173,-113.0119985961914,-99.42000122070314,-22.97600006103516,4.595200012207031,post_peak_degradation,420.20800079345696,334.05999755859375,-86.14800323486321,-22.35111083984375,-42.0208000793457,8.40416001586914,post_peak_degradation
CartPole-v1,a2c,20251026_181828_136189_pid986419_seed0,0,500.0,445.8659991455079,-54.134000854492115,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-15.73555535210504,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181830_974973_pid986425_seed0,0,459.52000122070314,346.50800262451173,-113.0119985961914,-99.42000122070314,-22.97600006103516,4.595200012207031,post_peak_degradation,420.20800079345696,334.05999755859375,-86.14800323486321,-22.35111083984375,-42.0208000793457,8.40416001586914,post_peak_degradation
CartPole-v1,a2c,20251026_181835_846988_pid986442_seed0,0,500.0,445.8659991455079,-54.134000854492115,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-15.73555535210504,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181840_120309_pid986460_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182128_807321_pid987358_seed0,0,500.0,456.24400024414064,-43.755999755859364,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-14.58000013563368,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182130_020111_pid987369_seed0,0,500.0,451.36399841308594,-48.63600158691406,-100.0,-25.0,5.0,post_peak_degradation,500.0,498.97998046875,-1.02001953125,-17.70888875325521,-50.0,10.0,uncertain
